veracity,statement,light_normalization
True,"""It's taken more time to complete the Towpath Trail than it did to build the (Ohio & Erie) Canal.""","""it's taken more time to complete the towpath trail than it did to build the (ohio & erie) canal."""
False,"""The Democratic majority led the 111th Congress to spend more money in two years than the first 100 congresses before them combined.""","""the democratic majority led the 111th congress to spend more money in two years than the first 100 congresses before them combined."""
True,"""I stopped requesting earmarks in 2008.""","""i stopped requesting earmarks in 2008."""
False,"""We can save $125 billion in simply not giving out money to Medicare recipients that don't exist for procedures that didn't happen.""","""we can save $125 billion in simply not giving out money to medicare recipients that don't exist for procedures that didn't happen."""
True,"""I never proposed privatizing the (Milwaukee County) airport.""","""i never proposed privatizing the (milwaukee county) airport."""
False,"""The Governor did not consult members of his own party before he released his [transportation] plan.""","""the governor did not consult members of his own party before he released his [transportation] plan."""
False,"""We continue to see these isolated incidents of people trying to vote five, six times a day.""","""we continue to see these isolated incidents of people trying to vote five, six times a day."""
True,"""You can go to Georgia and make about $6,000 more a year as a teacher.""","""you can go to georgia and make about $6,000 more a year as a teacher."""
True,"""Every student paying out-of-state tuition actually covers more than the cost of instruction.""","""every student paying out-of-state tuition actually covers more than the cost of instruction."""
False,"""[State Rep. Doug McKillip’s] donors deserve a refund.""","""[state rep. doug mckillips] donors deserve a refund."""
False,"""On the question on the DREAM Act, no -- no to granting lower tuition to illegals.""","""on the question on the dream act, no -- no to granting lower tuition to illegals."""
True,"""Ohio is losing over 700 family farms a year, some of them just to pay the inheritance tax.""","""ohio is losing over 700 family farms a year, some of them just to pay the inheritance tax."""
False,"""In Florida, illegal immigration costs taxpayers nearly $4 billion (a year). This amounts to $700 for every household in Florida.""","""in florida, illegal immigration costs taxpayers nearly $4 billion (a year). this amounts to $700 for every household in florida."""
True,"""The tuitions in Virginia colleges...have doubled -- 100 percent -- in the last 10 years.""","""the tuitions in virginia colleges...have doubled -- 100 percent -- in the last 10 years."""
False,"""[Georgia] Republicans have mismanaged unemployment benefits.""","""[georgia] republicans have mismanaged unemployment benefits."""
True,"""We were one of the first states in the U.S. to build sewers, to bring the treatment plant on line.""","""we were one of the first states in the u.s. to build sewers, to bring the treatment plant on line."""
True,"""More people hunt and fish in Texas in a given year than attend the... games of the Dallas Cowboys, the Dallas Mavericks, the Houston Texans and the Houston Rockets combined.""","""more people hunt and fish in texas in a given year than attend the... games of the dallas cowboys, the dallas mavericks, the houston texans and the houston rockets combined."""
True,"""Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year.""","""demand for transportation choice is on the rise, with 14 percent more ohioans riding passenger trains over the past year."""
True,"""Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.""","""congressman ryan has secured a grand total of $116,838,763 to date (for the mahoning valley) and has an additional $27,095,000 pending in fy2010 spending bills."""
True,"""Nobody has played clips over and over ... of President Obama (saying), 'If they bring a knife to the fight, we'll bring a gun.' ""","""nobody has played clips over and over ... of president obama (saying), 'if they bring a knife to the fight, we'll bring a gun.' """
True,"""Re: (Marco) Rubio's support of earmark ban: In 2002 alone, he requested 37 earmarks worth $43 million.""","""re: (marco) rubio's support of earmark ban: in 2002 alone, he requested 37 earmarks worth $43 million."""
True,"""We haven’t had control of the House for the last two years and it’s been malfunctioning. We had 109 sessions scheduled and held 49.""","""we havent had control of the house for the last two years and its been malfunctioning. we had 109 sessions scheduled and held 49."""
False,"""Mequon and Milwaukee have the highest disparity of income in the country.""","""mequon and milwaukee have the highest disparity of income in the country."""
False,"""We're the only system of federalism in the world.""","""we're the only system of federalism in the world."""
True,"""Animal abuse is often an indicative trait of future acts of violence against humans.""","""animal abuse is often an indicative trait of future acts of violence against humans."""
True,"""Georgia has the second-highest rate of childhood obesity in the United States.""","""georgia has the second-highest rate of childhood obesity in the united states."""
False,"""In fact, 85 percent of Oregonians voted in 2008.""","""in fact, 85 percent of oregonians voted in 2008."""
False,"""Paul Workman wants to raise the sales tax.""","""paul workman wants to raise the sales tax."""
False,"""Senator Robert Hurt voted for a bill that’s raised your electric rates seven times.""","""senator robert hurt voted for a bill thats raised your electric rates seven times."""
False,"""Unfortunately everyone needs to cut back in these tough economic times. That's why I voted to cut my own pay along with the pay of our state employees.""","""unfortunately everyone needs to cut back in these tough economic times. that's why i voted to cut my own pay along with the pay of our state employees."""
False,"""When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.""","""when president, then candidate, obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it."""
False,"""Matt Patten kicked off his dirty campaign with thousands in dirty cash from guess who? (Frank) Russo and (Jimmy) Dimora.""","""matt patten kicked off his dirty campaign with thousands in dirty cash from guess who? (frank) russo and (jimmy) dimora."""
True,"""Since 2000, when he entered politics, Jon Husted has been on the ballot six times for three different political offices.""","""since 2000, when he entered politics, jon husted has been on the ballot six times for three different political offices."""
False,"""Joe Garcia raised utility rates on families.""","""joe garcia raised utility rates on families."""
False,"""(Jeff) Atwater's busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish it's dubbed the 'Taj Mahal,' $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor.""","""(jeff) atwater's busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish it's dubbed the 'taj mahal,' $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor."""
False,"""When Washington liberals wanted to take away our guns, Chet said no.""","""when washington liberals wanted to take away our guns, chet said no."""
False,"""Steve Southerland did not pay his taxes in '05, '06, '07, '08 or '09.""","""steve southerland did not pay his taxes in '05, '06, '07, '08 or '09."""
True,"""I said no to these big bank bailouts.""","""i said no to these big bank bailouts."""
False,"""O’Shaughnessy even voted for her own personal stimulus package -- a taxpayer-funded pay raise for herself.""","""oshaughnessy even voted for her own personal stimulus package -- a taxpayer-funded pay raise for herself."""
False,"""It’s coming. Nobody can stop this train.""","""its coming. nobody can stop this train."""
True,"""Rhode Island has a very generous unemployment compensation rate compared to most other states.""","""rhode island has a very generous unemployment compensation rate compared to most other states."""
True,"""Exit polls indicate that Democrats get over 70 percent of LGBT votes in federal elections.""","""exit polls indicate that democrats get over 70 percent of lgbt votes in federal elections."""
False,"""Perry pushed for a law that lets insurance companies raise homeowners’ rates without having to justify the increase.""","""perry pushed for a law that lets insurance companies raise homeowners rates without having to justify the increase."""
False,"""Social Security is a Ponzi scheme.""","""social security is a ponzi scheme."""
True,"""An organized crime syndicate was extorting money from his (Tom Ganley’s) business, threatening his family, but he fought back and won the FBI's highest civilian award""","""an organized crime syndicate was extorting money from his (tom ganleys) business, threatening his family, but he fought back and won the fbi's highest civilian award"""
True,"""Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.""","""pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry."""
False,"""Over the past year ... our 16 counties have hemorrhaged more than 6,000 jobs with no apparent end in sight.""","""over the past year ... our 16 counties have hemorrhaged more than 6,000 jobs with no apparent end in sight."""
False,"""The downsizing of Pinellas County government resulted in about 1,200 people being laid off in a 12 percent unemployment market. … I can tell you that every one of them was hired from the time that Ms. Latvala went into office in 2000.""","""the downsizing of pinellas county government resulted in about 1,200 people being laid off in a 12 percent unemployment market. ... i can tell you that every one of them was hired from the time that ms. latvala went into office in 2000."""
False,"""One of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since I’ve been in office. It was a quarter mill tax in the unincorporated area only.""","""one of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget. absolutely not true. one tax increase since ive been in office. it was a quarter mill tax in the unincorporated area only."""
False,"""More people were killed in the United States last year by tainted food than U.S. troops killed in Iraq and Afghanistan since the wars began.""","""more people were killed in the united states last year by tainted food than u.s. troops killed in iraq and afghanistan since the wars began."""
False,"""Do you know that we have pipes carrying natural gas in this country that are made of wood? I'm not joking.""","""do you know that we have pipes carrying natural gas in this country that are made of wood? i'm not joking."""
False,"""We will be the first party to elect a bald guy to governor.""","""we will be the first party to elect a bald guy to governor."""
True,"""I don’t understand what Republicans are doing against this. It was their idea. John McCain introduced cap and trade legislation three times.""","""i dont understand what republicans are doing against this. it was their idea. john mccain introduced cap and trade legislation three times."""
False,"""Close to 30% of our federal prison population consists of  illegal immigrants.""","""close to 30% of our federal prison population consists of  illegal immigrants."""
False,"""It costs us, logistically, three times more to fight in Afghanistan than it does in any other place.""","""it costs us, logistically, three times more to fight in afghanistan than it does in any other place."""
True,"""Florida is 49th in per capita spending on mental health care.""","""florida is 49th in per capita spending on mental health care."""
True,"""(I) helped to invent a system that saved over a billion dollars on welfare.""","""(i) helped to invent a system that saved over a billion dollars on welfare."""
False,"""Paul Broun Jr. sides with sexual deviants to support sale of 'crush videos.' ""","""paul broun jr. sides with sexual deviants to support sale of 'crush videos.' """
False,"""This is not a mosque. It's a cultural center that has a prayer area.""","""this is not a mosque. it's a cultural center that has a prayer area."""
False,"""Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.""","""over 81 percent of the babies that are born at lbj hospital right here in houston are born of women who are not here legally."""
False,"""Reporters have uncovered another Scott company accused of criminal acts. But Scott won't come clean.""","""reporters have uncovered another scott company accused of criminal acts. but scott won't come clean."""
False,"""Mr. Caprio is a career politician who has never worked in the private sector.""","""mr. caprio is a career politician who has never worked in the private sector."""
True,"""U.S. taxpayers are being forced to fund Feisal Abdul Rauf’s trip to the Middle East.""","""u.s. taxpayers are being forced to fund feisal abdul raufs trip to the middle east."""
True,"""In 1935, more than 50% of the elderly population lived in poverty. Today that poverty rate stands officially at 9.4%.""","""in 1935, more than 50% of the elderly population lived in poverty. today that poverty rate stands officially at 9.4%."""
True,"""I've taken on the federal government and won.""","""i've taken on the federal government and won."""
True,"""I’ve even cut my own salary -- twice.""","""ive even cut my own salary -- twice."""
True,"""Last year, we borrowed $1.4 trillion -- or 41 cents of every dollar we spent. Over half of this debt is held by foreign investors.""","""last year, we borrowed $1.4 trillion -- or 41 cents of every dollar we spent. over half of this debt is held by foreign investors."""
False,"""Kendrick Meek was named one of the two most corrupt Democrats in Congress by Citizens for Responsibility and Ethics in Washington.""","""kendrick meek was named one of the two most corrupt democrats in congress by citizens for responsibility and ethics in washington."""
False,"""Only a few months ago the FBI arrested three Broward County Commissioners for accepting millions of dollars in trade for illegal favors.""","""only a few months ago the fbi arrested three broward county commissioners for accepting millions of dollars in trade for illegal favors."""
True,"""The first professional baseball team was from an Ohio city.""","""the first professional baseball team was from an ohio city."""
True,"""Today almost half our debt is owned by foreigners.""","""today almost half our debt is owned by foreigners."""
True,"""There are more pain clinics in Broward County than there are McDonald's in Broward County.""","""there are more pain clinics in broward county than there are mcdonald's in broward county."""
False,"""I remember one of [Curt Schilling's] teammates said he painted his sock, the bloody sock.""","""i remember one of [curt schilling's] teammates said he painted his sock, the bloody sock."""
True,"""We've seen six months of positive job growth by the private sector.""","""we've seen six months of positive job growth by the private sector."""
True,"""Sometime in the next decade, there will be more Latinos in the state of Texas than there are Anglos. That will happen sometime in the next five to eight to ten years.""","""sometime in the next decade, there will be more latinos in the state of texas than there are anglos. that will happen sometime in the next five to eight to ten years."""
True,"""Education Week rates Ohio schools in the top five in the nation.""","""education week rates ohio schools in the top five in the nation."""
True,"""In the 18th Congressional District, 100% of electric generation comes from coal.""","""in the 18th congressional district, 100% of electric generation comes from coal."""
False,"""Today, we have two Vietnams, side by side, North and South, exchanging and working.""","""today, we have two vietnams, side by side, north and south, exchanging and working."""
True,"""Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.""","""have the suburbs been inundated with former residents of atlanta housing projects? absolutely not."""
False,"""Ken Hodges badly botched this investigation and, as a result, justice wasn't done in this case.""","""ken hodges badly botched this investigation and, as a result, justice wasn't done in this case."""
True,"""Attorney General McCollum, Speaker-Designate Cannon, Senate President-Designate Haridopolos and I stood up to Governor Crist and worked to remove Jim Greer as Chairman because of his mismanagement of the party.""","""attorney general mccollum, speaker-designate cannon, senate president-designate haridopolos and i stood up to governor crist and worked to remove jim greer as chairman because of his mismanagement of the party."""
False,"""The top 1 percent pay over half of the entire revenue for this country.""","""the top 1 percent pay over half of the entire revenue for this country."""
False,"""Subsidies for oil and gas companies make up 88 percent of all federal subsidies. Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year.""","""subsidies for oil and gas companies make up 88 percent of all federal subsidies. just cutting the oil and gas subsidies out would save the u.s. government $45 billion every year."""
True,"""He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.""","""he (kirk) did violate pentagon rules, twice actually, for improperly mingling politics with his military service."""
True,"""Crime is down in Arizona.""","""crime is down in arizona."""
True,"""We’re No. 1 in child hunger.""","""were no. 1 in child hunger."""
False,"""West has raised $2 million from those that would leave our beaches in ruins, end Social Security and Medicare, and give corporations free reign.""","""west has raised $2 million from those that would leave our beaches in ruins, end social security and medicare, and give corporations free reign."""
False,"""In Florida alone, more than $3.5 billion a year is spent on health care and criminal justice for illegal immigrants.""","""in florida alone, more than $3.5 billion a year is spent on health care and criminal justice for illegal immigrants."""
False,"""The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.""","""the majority of the people that are coming to arizona and trespassing are now becoming drug mules."""
False,"""Langevin has been the  most reliable vote for Speaker Pelosi.""","""langevin has been the  most reliable vote for speaker pelosi."""
False,"""Fifty-three percent of teens  in Central Falls are getting pregnant.""","""fifty-three percent of teens  in central falls are getting pregnant."""
True,"""In the last 6 years, there have been 420 elections for State Senator and State Representative. Only three incumbents have been defeated!""","""in the last 6 years, there have been 420 elections for state senator and state representative. only three incumbents have been defeated!"""
False,"""In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.""","""in the case of general motors, the (bush) administration wrote a check without asking for any conditions of change."""
True,"""Obama put a 10 percent tax on tanning.""","""obama put a 10 percent tax on tanning."""
False,"""We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ""","""we have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' """
False,"""The last major oil spill from a drilling accident in America happened over 40 years ago in 1969.""","""the last major oil spill from a drilling accident in america happened over 40 years ago in 1969."""
False,"""Georgia has a well-deserved reputation for setting the gold standard for food safety.""","""georgia has a well-deserved reputation for setting the gold standard for food safety."""
True,"""Almost 1 million children ... have no health insurance in this state.""","""almost 1 million children ... have no health insurance in this state."""
False,"""Every major study that has been done by a legitimate group ... shows that there are hundreds of thousands of jobs to be created if you pass our (cap-and-trade) legislation. And if you wind up pricing carbon.""","""every major study that has been done by a legitimate group ... shows that there are hundreds of thousands of jobs to be created if you pass our (cap-and-trade) legislation. and if you wind up pricing carbon."""
True,"""For now, we are still below average in the metro region.""","""for now, we are still below average in the metro region."""
True,"""The president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that.""","""the president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that."""
False,"""In the history department at the University of Texas, out of 50 registered voters, only one is a Republican.""","""in the history department at the university of texas, out of 50 registered voters, only one is a republican."""
False,"""The fact that Rick Scott is running for governor as a 'reformer' would be funny if it wasn't so outrageous. This is a man who barely escaped imprisonment.""","""the fact that rick scott is running for governor as a 'reformer' would be funny if it wasn't so outrageous. this is a man who barely escaped imprisonment."""
True,"""Texas has, now, the highest share of minimum-wage workers in the nation.""","""texas has, now, the highest share of minimum-wage workers in the nation."""
True,"""In the last 50 years, (the federal government has) only balanced the budget five times.""","""in the last 50 years, (the federal government has) only balanced the budget five times."""
True,"""Incoming House Speaker Dean Cannon and incoming Senate President Mike Haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off Florida's coast.""","""incoming house speaker dean cannon and incoming senate president mike haridopolos have said they plan to champion efforts next legislative session to allow oil rigs off florida's coast."""
False,"""Brazil got off oil in the last 30 years.""","""brazil got off oil in the last 30 years."""
True,"""Congress can tell [the Supreme Court] which cases they ought to hear. We have that authority.""","""congress can tell [the supreme court] which cases they ought to hear. we have that authority."""
True,"""Bill Young uses his campaign money for, among other things, a luxury car.""","""bill young uses his campaign money for, among other things, a luxury car."""
True,"""No member of the American public has ever been killed by commercial nuclear power — a record unmatched by other fuels.""","""no member of the american public has ever been killed by commercial nuclear power  a record unmatched by other fuels."""
False,"""We have constitutional amendment that says that there's a ban on drilling right off Florida's coast.""","""we have constitutional amendment that says that there's a ban on drilling right off florida's coast."""
False,"""The bill reported out of committee sets up a $50 billion slush fund that, while intended for resolving failing firms, is available for virtually any purpose that the treasury secretary sees fit.""","""the bill reported out of committee sets up a $50 billion slush fund that, while intended for resolving failing firms, is available for virtually any purpose that the treasury secretary sees fit."""
False,"""When you look at the nearly 150 men and women   who have served us on the Texas Supreme Court, more than half of them   had zero prior judicial experience.""","""when you look at the nearly 150 men and women   who have served us on the texas supreme court, more than half of them   had zero prior judicial experience."""
False,"""A filibuster has never really been successfully used against a Supreme Court justice.""","""a filibuster has never really been successfully used against a supreme court justice."""
False,"""Cell phone numbers go public this month.""","""cell phone numbers go public this month."""
True,"""President Obama himself attempted to filibuster Justice Alito, who  now sits on the Supreme Court.""","""president obama himself attempted to filibuster justice alito, who  now sits on the supreme court."""
False,"""Giving money to politicians has paid off for Paul Workman. Workman gave thousands to politicians and got millions in government construction projects.""","""giving money to politicians has paid off for paul workman. workman gave thousands to politicians and got millions in government construction projects."""
False,"""Early census returns are showing that conservatives have been measurably less likely than liberals to return their census forms.""","""early census returns are showing that conservatives have been measurably less likely than liberals to return their census forms."""
True,"""Snitker has been virtually ignored by the major media.""","""snitker has been virtually ignored by the major media."""
True,"""With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.""","""with this reform, every insured american gets valuable consumer protections, and every uninsured american can become insured."""
True,"""Farouk is on fire.""","""farouk is on fire."""
False,"""The average student will be spending $1,700 to $1,800 more during the life of their loan because of this surcharge.""","""the average student will be spending $1,700 to $1,800 more during the life of their loan because of this surcharge."""
True,"""There will be no public funding for abortion in this legislation.""","""there will be no public funding for abortion in this legislation."""
True,"""In Texas, schools do not even have to teach sex education.""","""in texas, schools do not even have to teach sex education."""
False,"""Kay Bailey Hutchison was elected state treasurer,  succeeding Ann Richards. Democrats then abolished the position ...  Hutchison later became a U.S. senator.""","""kay bailey hutchison was elected state treasurer,  succeeding ann richards. democrats then abolished the position ...  hutchison later became a u.s. senator."""
True,"""Health insurance companies' costs are only 4 percent of all health care spending.""","""health insurance companies' costs are only 4 percent of all health care spending."""
True,"""If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.""","""if we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half."""
True,"""Nearly all of the top 50 prescribers of oxycodone in the United States are in Florida.""","""nearly all of the top 50 prescribers of oxycodone in the united states are in florida."""
True,"""Her opponent: zero times a judge, zero rulings, zero experience on the bench.""","""her opponent: zero times a judge, zero rulings, zero experience on the bench."""
True,"""Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.""","""since 1981, reconciliation has been used 21 times. most of it's been used by republicans."""
False,"""We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.""","""we have solved the problem. ... scientists are now saying leave the nuclear waste where it is."""
False,"""The current (agriculture) commissioner allowed tainted beef to be sent to school cafeterias.""","""the current (agriculture) commissioner allowed tainted beef to be sent to school cafeterias."""
False,"""My opponent... lost 43,000 jobs in Houston since he took over; we are losing jobs.""","""my opponent... lost 43,000 jobs in houston since he took over; we are losing jobs."""
False,"""We have killed lots of innocent people in the state of Texas.""","""we have killed lots of innocent people in the state of texas."""
True,"""A Democratic poll operation shows that Fox News is the most trusted news operation in the country.""","""a democratic poll operation shows that fox news is the most trusted news operation in the country."""
True,"""The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.'""","""the law is very clear! 'the monies recouped from the tarp shall be paid into the general fund of the treasury for the reduction of the public debt.'"""
False,"""For the hour after the (Jan. 14) debate, 'Debra Medina' was the No. 1 search on Google and for the remainder of that night No. 3.""","""for the hour after the (jan. 14) debate, 'debra medina' was the no. 1 search on google and for the remainder of that night no. 3."""
False,"""Federal employees are making twice as much as their private counterparts.""","""federal employees are making twice as much as their private counterparts."""
True,"""We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses.""","""we passed without, frankly, the help of the republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses."""
False,"""What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.""","""what were the old annual deficits under republicans have now become the monthly deficits under democrats."""
True,"""Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore.""","""here in virginia, we have the opportunity to become the first state on the east coast to explore for and produce oil and natural gas offshore."""
False,"""Right now the Tea Party polls higher than the Republicans and the Democrats.""","""right now the tea party polls higher than the republicans and the democrats."""
True,"""Most Texans aren't millionaires.""","""most texans aren't millionaires."""
True,"""I haven't missed a vote since 1993.""","""i haven't missed a vote since 1993."""
False,"""Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.""","""today and every day, an estimated 14,000 americans will lose their health insurance coverage."""
False,"""I'm predicting (the Saints) will go not only undefeated, but all the way through the Super Bowl -- something that's never been done before.""","""i'm predicting (the saints) will go not only undefeated, but all the way through the super bowl -- something that's never been done before."""
True,"""President Obama campaigned on a promise to put reproductive health care at the center of his reform plan.""","""president obama campaigned on a promise to put reproductive health care at the center of his reform plan."""
False,"""One-third of the health care dollar goes to no such thing as health care; it goes to the insurance companies.""","""one-third of the health care dollar goes to no such thing as health care; it goes to the insurance companies."""
False,"""For the last decade the climate has been cooling.""","""for the last decade the climate has been cooling."""
False,"""Baseball and insurance are the only industries exempt from antitrust laws.""","""baseball and insurance are the only industries exempt from antitrust laws."""
False,"""Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.""","""not only is there no scientific evidence that co2 is a pollutant, higher co2 concentrations actually help ecosystems support more plant and animal life."""
False,"""There's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed.""","""there's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed."""
False,"""The majority actually want single-payer health care.""","""the majority actually want single-payer health care."""
False,"""Recent census data shows that the average American family spends over $13,000 a year for health care coverage.""","""recent census data shows that the average american family spends over $13,000 a year for health care coverage."""
False,"""Under the Baucus bill ... federal funds would subsidize coverage of elective abortions.""","""under the baucus bill ... federal funds would subsidize coverage of elective abortions."""
True,"""Switzerland and the Netherlands . . .  cover all their citizens using private insurers, and they do so for much less cost.""","""switzerland and the netherlands . . .  cover all their citizens using private insurers, and they do so for much less cost."""
False,"""The Obama Administration's own White House Council of Economic Advisers has estimated 4.7 million Americans will lose their jobs if the (health care) bill passes.""","""the obama administration's own white house council of economic advisers has estimated 4.7 million americans will lose their jobs if the (health care) bill passes."""
False,"""Cap-and-trade is wildly unpopular with Americans.""","""cap-and-trade is wildly unpopular with americans."""
False,"""The Congressional Budget Office most recently came out and analyzed the current (health care) plan and said that it was not only deficit-neutral, but also that over 10 years it would create a $6 billion surplus.""","""the congressional budget office most recently came out and analyzed the current (health care) plan and said that it was not only deficit-neutral, but also that over 10 years it would create a $6 billion surplus."""
True,"""Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.""","""now, there was a time when someone like scalia and ginsburg got 95-plus votes."""
False,"""Yes, this would be the same congressman (Rep. Pete Hoekstra) who last year Tweeted the whereabouts of a top-secret mission to Iraq.""","""yes, this would be the same congressman (rep. pete hoekstra) who last year tweeted the whereabouts of a top-secret mission to iraq."""
False,"""A new poll shows 62 percent support the president's plan to reform health care. That means ... letting you choose between keeping the private insurance you have and a public health insurance plan.""","""a new poll shows 62 percent support the president's plan to reform health care. that means ... letting you choose between keeping the private insurance you have and a public health insurance plan."""
True,"""President Obama will now own 60 percent of GM, and his union buddies will own almost 20 percent.""","""president obama will now own 60 percent of gm, and his union buddies will own almost 20 percent."""
True,"""The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.""","""the nuclear test conducted in our nation this time is the earth's 2,054th nuclear test. the five permanent members of the u.n. security council have conducted 99.99 percent of the total nuclear tests."""
True,"""You've heard endlessly about waterboarding. It happened to three terrorists.""","""you've heard endlessly about waterboarding. it happened to three terrorists."""
True,"""The reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 World Trade Center bombing, the 'shoe bomber,' the 'Unabomber,' and many others.""","""the reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 world trade center bombing, the 'shoe bomber,' the 'unabomber,' and many others."""
True,"""Our government has now 'spent, lent, or committed' $12.8 trillion in its attempt to blunt the recession.""","""our government has now 'spent, lent, or committed' $12.8 trillion in its attempt to blunt the recession."""
False,"""There are no similar clips of Newt Gingrich talking about how ineffective President Bush was in trying to control North Korea.""","""there are no similar clips of newt gingrich talking about how ineffective president bush was in trying to control north korea."""
False,"""There has been no net global warming for over a decade now.""","""there has been no net global warming for over a decade now."""
True,"""Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter.""","""last week the blue chip economic indicators came out that surveys lots of private forecasters. almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter."""
False,"""Look, the earmarks have come down significantly, 75 percent.""","""look, the earmarks have come down significantly, 75 percent."""
True,"""A middle-class family donates $1 to charity, they get 15 cents off their income tax. Bill Gates donates $1 to charity, he takes 35 cents off his income tax.""","""a middle-class family donates $1 to charity, they get 15 cents off their income tax. bill gates donates $1 to charity, he takes 35 cents off his income tax."""
False,"""Under the Obama plan . . . all the health care in this country is eventually going to  be run by the government.""","""under the obama plan . . . all the health care in this country is eventually going to  be run by the government."""
False,"""In just one month, the Democrats have spent more than President Bush spent in seven years on the war in Iraq, the war in Afghanistan and Hurricane Katrina combined.""","""in just one month, the democrats have spent more than president bush spent in seven years on the war in iraq, the war in afghanistan and hurricane katrina combined."""
False,"""The Congressional Budget Office has found that (the stimulus) bill will lead to a real 0.1 to 0.3 percent reduction in gross domestic product by 2019.""","""the congressional budget office has found that (the stimulus) bill will lead to a real 0.1 to 0.3 percent reduction in gross domestic product by 2019."""
True,"""When the salmonella source was finally identified, FDA officials had to wait for industry approval before they could go live with the [peanut] recall.""","""when the salmonella source was finally identified, fda officials had to wait for industry approval before they could go live with the [peanut] recall."""
True,"""Geithner still didn't correct the same type of error for some years, even after the Internal Revenue Service flagged him for the failure to pay the taxes in other years.""","""geithner still didn't correct the same type of error for some years, even after the internal revenue service flagged him for the failure to pay the taxes in other years."""
False,"""Even with recent changes, the average hourly wage at General Motors is still $75 an hour.""","""even with recent changes, the average hourly wage at general motors is still $75 an hour."""
False,"""Barack Obama has consistently voted against tougher penalties for criminals.""","""barack obama has consistently voted against tougher penalties for criminals."""
True,"""Palin (proposed) a $150 bounty for the severed foreleg of each killed wolf.""","""palin (proposed) a $150 bounty for the severed foreleg of each killed wolf."""
True,"""Less than four cents of every health care dollar is spent on prevention and public health.""","""less than four cents of every health care dollar is spent on prevention and public health."""
True,"""We spend more on health care than any other country, but we're ranked 47th in life expectancy and 43rd in child mortality.""","""we spend more on health care than any other country, but we're ranked 47th in life expectancy and 43rd in child mortality."""
True,"""McCain got more money from Airbus' U.S. executives than any other politician.""","""mccain got more money from airbus' u.s. executives than any other politician."""
False,"""Sen. McCain would occupy Iraq indefinitely, against their wishes.""","""sen. mccain would occupy iraq indefinitely, against their wishes."""
